,CompanyName,Title,location,duration,salary,No_of_applied,Total_postings,Total_hired,Started_since
0,CollegeTips Ed Tech Media Private Limited,Business Analytics,Work from home,1 Month,"₹ 10,000 - 25,000 /month",Be an early applicant,552 opportunities posted,17 candidates hired,Hiring since May 2022
1,Jivichem Synthesis Private Limited,Machine Learning,Work from home,1 Month,"₹ 25,000 /month",Be an early applicant,58 opportunities posted,4 candidates hired,Hiring since April 2023
2,"Gyde (New York, United States)",Ul Stack Developer (MERN/Next.js + NestJS + Generative AI),Work from home,6 Months,"₹ 8,000 - 15,000 /month",Be an early applicant,1 opportunity posted,N/A,Hiring since May 2025
3,Primetrade.ai,Junior Data Scientist For High-Growth Web3  Trading Platform,Work from home,6 Months,"₹ 10,000 - 15,000 /month",26 applicants,17 opportunities posted,3 candidates hired,Hiring since October 2023
4,Nimrobo AI Pvt Ltd,Artificial Intelligence (AI),Work from home,3 Months,"₹ 6,000 - 9,000 /month",65 applicants,2 opportunities posted,N/A,Hiring since January 2025
5,Pawzz Foundation,14 Days Virtual Charity Drive,Work from home,2 Weeks,"₹ 1,500 - 15,000 lump sum",Be an early applicant,392 opportunities posted,2416 candidates hired,Hiring since August 2024
6,International Institute Of SDGs & Public Policy Research,AI Agent Making,Work from home,3 Months,Unpaid,36 applicants,303 opportunities posted,1499 candidates hired,Hiring since August 2021
7,The Trading Fox,Human Resources (HR),Jaipur,3 Months,"₹ 10,000 - 15,000 /month",66 applicants,43 opportunities posted,N/A,Hiring since October 2024
8,Chit1 Studios,HR Consultant,"Chandigarh, Kharar, Rajpura, Mohali, Panchkula",3 Months,"₹ 8,000 - 10,000 /month",Be an early applicant,25 opportunities posted,N/A,Hiring since September 2021
9,The Grand Heritage Resorts Pune,Marketing,Pune                                                    (Hybrid),6 Months,"₹ 6,000 - 10,000 /month",Be an early applicant,1 opportunity posted,N/A,Hiring since May 2025
10,Arealis Networks Pvt. Ltd.,UrbanTech Operations,Pune                                                    (Hybrid),3 Months,"₹ 3,000 - 5,000 /month",99 applicants,1 opportunity posted,1 candidate hired,Hiring since May 2025
11,Corporate Connections,Operations,Rajkot,3 Months,"₹ 15,000 /month",Be an early applicant,1 opportunity posted,N/A,Hiring since April 2025
12,International Institute Of SDGs & Public Policy Research,Convolutional Neural Network(CNN),Work from home,3 Months,Unpaid,Be an early applicant,303 opportunities posted,1499 candidates hired,Hiring since August 2021
13,International Institute Of SDGs & Public Policy Research,Web Scrapping,Work from home,3 Months,Unpaid,Be an early applicant,303 opportunities posted,1499 candidates hired,Hiring since August 2021
14,Litmus Media Private Limited,Digital Marketing,Work from home,3 Months,"₹ 5,000 - 6,000 /month",Be an early applicant,1 opportunity posted,N/A,Hiring since May 2025
15,Aadhvik Technologies,Machine Learning,Work from home,1 Month,"₹ 1,000 - 2,000 /month",Be an early applicant,522 opportunities posted,5 candidates hired,Hiring since June 2024
16,Pawzz,Social Service,Work from home,1 Month,"₹ 1,500 - 15,000 /month",Be an early applicant,2357 opportunities posted,8775 candidates hired,Hiring since January 2020
17,Pawzz,Business Consultant,Work from home,3 Weeks,"₹ 1,500 - 15,000 /month",Be an early applicant,2357 opportunities posted,8775 candidates hired,Hiring since January 2020
18,Graveiens Eduservices Private Limited,Hindi Speaker,Work from home,3 Months,"₹ 10,000 - 20,000 /month",88 applicants,535 opportunities posted,20 candidates hired,Hiring since October 2023
19,Nxtcode,Data Analytics,Work from home,3 Months,"₹ 7,500 - 15,000 /month",139 applicants,35 opportunities posted,1 candidate hired,Hiring since May 2025
20,Nxtcode,Machine Learning,Work from home,3 Months,"₹ 7,500 - 15,000 /month",85 applicants,35 opportunities posted,1 candidate hired,Hiring since May 2025
21,CollegeTips Ed Tech Media Private Limited,Artificial Intelligence (AI),Work from home,1 Month,"₹ 10,000 - 25,000 /month",340 applicants,552 opportunities posted,17 candidates hired,Hiring since May 2022
22,CollegeTips Ed Tech Media Private Limited,Data Analytics,Work from home,1 Month,"₹ 10,000 - 25,000 /month",411 applicants,552 opportunities posted,17 candidates hired,Hiring since May 2022
23,Jivichem Synthesis Private Limited,Digital Marketing,Work from home,2 Months,"₹ 12,000 /month",272 applicants,58 opportunities posted,4 candidates hired,Hiring since April 2023
24,Budding Mariners,Operations Manager,Work from home,4 Months,"₹ 3,000 /month",127 applicants,544 opportunities posted,276 candidates hired,Hiring since May 2023
25,Techiesms,Internet Of Things (IoT),Ahmedabad,6 Months,"₹ 4,000 - 5,000 /month",41 applicants,44 opportunities posted,5 candidates hired,Hiring since February 2020
26,Brajdham Power Pvt. Ltd.,Research Associate,Jaipur,5 Months,"₹ 10,000 - 12,000 /month",64 applicants,1 opportunity posted,N/A,Hiring since May 2025
27,Maxgen Technologies Private Limited,Machine Learning,Ahmedabad,3 Months,"₹ 7,000 - 12,000 /month",196 applicants,128 opportunities posted,N/A,Hiring since November 2024
28,Vision My Art,Search Engine Optimization (SEO),Noida,6 Months,"₹ 8,000 - 10,000 /month",44 applicants,19 opportunities posted,14 candidates hired,Hiring since May 2018
29,Focelite Goodness India Private Limited,Project Management,"Bangalore, Karnataka",3 Months,"₹ 2,001 - 5,005 /month",37 applicants,8 opportunities posted,3 candidates hired,Hiring since July 2022
30,Aadhvik Technologies,Data Science,Work from home,1 Month,"₹ 1,000 - 2,000 /month",885 applicants,522 opportunities posted,5 candidates hired,Hiring since June 2024
31,Water Town Swim School,Data Analytics,Work from home,4 Months,"₹ 20,000 - 40,000 /month",1000+ applicants,104 opportunities posted,9 candidates hired,Hiring since April 2017
32,Codecraft IT Solutions,Google Ads Expert,Work from home,4 Months,"₹ 3,200 - 7,000 /month",189 applicants,167 opportunities posted,N/A,Hiring since November 2024
33,Codecraft IT Solutions,Google Ads Creator,Work from home,4 Months,"₹ 3,500 - 8,000 /month",210 applicants,167 opportunities posted,N/A,Hiring since November 2024
34,Pawzz,Fundraising,Work from home,2 Weeks,"₹ 1,500 - 10,000 lump sum",171 applicants,2357 opportunities posted,8775 candidates hired,Hiring since January 2020
35,Snapmint Credit Advisory Private Limited,Business Analytics,Bangalore,2 Months,"₹ 30,000 - 40,000 /month",810 applicants,34 opportunities posted,7 candidates hired,Hiring since January 2019
36,Renan Partners,Large Language Model (LLM),Work from home,6 Months,"₹ 5,000 /month",558 applicants,59 opportunities posted,43 candidates hired,Hiring since August 2024
37,DR. SKILL OUTREACH PRIVATE LIMITED,Digital Marketing,"Ahmedabad, Gandhinagar",6 Months,"₹ 7,000 /month",Be an early applicant,1 opportunity posted,N/A,Hiring since May 2025
38,Kkonnect.io,Data Analytics,Bangalore,3 Months,"₹ 10,000 - 15,000 /month",848 applicants,9 opportunities posted,5 candidates hired,Hiring since February 2024
39,Deepnexus S,Data Analytics,Work from home,3 Months,"₹ 3,000 - 7,000 /month",1000+ applicants,61 opportunities posted,N/A,Hiring since February 2025
40,Jivichem Synthesis Private Limited,Artificial Intelligence (AI),Work from home,1 Month,"₹ 22,000 /month",1000+ applicants,58 opportunities posted,4 candidates hired,Hiring since April 2023
41,Jivichem Synthesis Private Limited,Data Science,Work from home,1 Month,"₹ 22,000 /month",1000+ applicants,58 opportunities posted,4 candidates hired,Hiring since April 2023
